 GMP  , Name galaxy     ,x,RA,y,Dec,Magnitude   ,Galaxy color     ,Velocity  ,Comment
3296,"NGC 4875, D104",194.91,194.91,28.91,28.91,15.88,1.96,8005,
3298,,194.91,194.91,28.78,28.78,17.26,1.79,6833,
3302,,194.91,194.91,29.17,29.17,17.33,1.68,5617,
3312,,194.91,194.91,29.02,29.02,18.68,1.78,7293,
3313,,194.91,194.91,28.83,28.83,17.53,1.83,6262,
3329,"NGC 4874, D129",194.9,194.9,28.96,28.96,12.78,9.99,7166,
3336,,194.9,194.9,28.91,28.91,18.47,9.99,13278,
3339,,194.9,194.9,28.86,28.86,17.54,1.78,6279,
3340,,194.9,194.9,28.93,28.93,18.54,1.93,4193,
3367,"NGC 4873, D155",194.89,194.89,28.98,28.98,15.15,1.91,5834,
3383,,194.89,194.89,28.86,28.86,18.5,1.86,4640,
3387,,194.89,194.89,29.1,29.1,18.22,1.7,7433,
3390,D176,194.89,194.89,29.05,29.05,15.89,1.75,6892,
3392,,194.88,194.88,28.95,28.95,18.07,1.44,nan,
3400,"IC 3973, D103",194.88,194.88,28.88,28.88,15.32,1.88,4722,
3403,D087,194.88,194.88,28.79,28.79,16.87,1.79,7790,
3406,,194.88,194.88,29.02,29.02,18.76,1.76,7166,
3414,"NGC 4871, D131",194.88,194.88,28.96,28.96,14.89,1.9,6788,
3423,"IC 3976, D088",194.88,194.88,28.85,28.85,15.8,1.95,6819,
3433,D177,194.88,194.88,29.04,29.04,16.56,1.79,5542,
3439,D178,194.88,194.88,29.09,29.09,16.72,1.81,5641,
3448,,194.87,194.87,29.23,29.23,18.39,2.28,29731,
3463,,194.87,194.87,28.79,28.79,18.09,1.87,6552,
3471,D156,194.87,194.87,29,29,16.45,9.99,6708,
3475,,194.87,194.87,29.29,29.29,17.21,1.7,7977,
3481,,194.87,194.87,29.19,29.19,17.69,1.68,7718,
3482,,194.87,194.87,29.08,29.08,18.66,1.85,nan,
3484,D157,194.86,194.86,28.97,28.97,16.26,1.81,6119,
3486,,194.86,194.86,28.93,28.93,17.73,1.82,7840,
3487,D132,194.86,194.86,28.97,28.97,16.63,1.88,7675,
3489,,194.86,194.86,29,29,17.93,9.99,5506,
3493,D067,194.86,194.86,28.74,28.74,16.5,1.94,6033,
3565,,194.84,194.84,28.97,28.97,18.44,1.84,7171,
3567,,194.84,194.84,28.97,28.97,18.71,1.77,nan,
3615,,194.83,194.83,28.99,28.99,18.82,2.22,6317,
3639,"NGC 4867, D133",194.83,194.83,28.97,28.97,15.44,1.83,4805,
3645,,194.82,194.82,28.9,28.9,18.64,1.86,6417,
3656,D180,194.82,194.82,29.08,29.08,15.53,1.77,7815,
3660,"IC 3963, D068",194.82,194.82,28.77,28.77,15.76,1.87,6853,
3664,"NGC 4864, D159",194.82,194.82,28.98,28.98,14.7,9.99,6812,
3681,,194.81,194.81,29.01,29.01,18.01,1.73,6913,
3706,,194.81,194.81,28.87,28.87,17.61,1.85,6891,
3707,,194.81,194.81,29.04,29.04,17.76,1.82,7212,
3719,,194.8,194.8,28.9,28.9,18.29,1.91,7812,
3730,"IC 3959, D069",194.8,194.8,28.78,28.78,15.27,1.94,7044,
3733,"IC 3960, D109",194.8,194.8,28.86,28.86,15.85,1.89,6600,
3739,"IC 3957, D070",194.8,194.8,28.77,28.77,15.88,1.87,6352,
3750,,194.79,194.79,28.77,28.77,18.08,1.91,6267,
3761,"IC 3955, D160",194.79,194.79,29,29,15.57,1.88,7664,
3780,,194.79,194.79,29.05,29.05,17.89,1.85,5080,
3782,D108,194.79,194.79,28.91,28.91,16.55,1.85,6426,
3794,D134,194.79,194.79,28.96,28.96,17.37,1.98,6956,
3851,D135,194.77,194.77,28.97,28.97,16.98,1.86,8283,
3855,,194.77,194.77,28.93,28.93,18.05,1.79,5564,
3882,D071,194.76,194.76,28.79,28.79,16.97,1.85,6893,
3895,,194.76,194.76,28.82,28.82,17.74,1.72,8651,
3914,D136,194.75,194.75,28.96,28.96,16.57,1.81,5661,
3925,,194.75,194.75,28.8,28.8,18,2,6448,
3943,,194.74,194.74,28.81,28.81,16.93,1.88,5507,
3958,"IC 3947, D072",194.74,194.74,28.79,28.79,15.94,1.91,5655,
3972,D181,194.74,194.74,29.08,29.08,16.52,1.87,6046,
3973,,194.74,194.74,29,29,18.66,1.86,6715,
3982,,194.73,194.73,29.05,29.05,19.4,2.46,45675,
3993,,194.73,194.73,28.91,28.91,19.02,2.36,47234,
3997,"IC 3946, D091",194.73,194.73,28.81,28.81,15.28,1.95,5879,
4003,,194.73,194.73,29.02,29.02,18.6,1.81,7074,
4024,,194.72,194.72,28.9,28.9,17.97,2.39,47492,
4035,,194.72,194.72,28.75,28.75,18.49,1.82,6657,
4060,,194.71,194.71,28.76,28.76,17.57,1.31,8703,
4063,,194.7,194.7,28.92,28.92,19.32,2.38,47692,
4081,,194.7,194.7,28.92,28.92,18.91,2.15,50090,
4083,,194.7,194.7,28.83,28.83,17.82,1.91,6178,
4103,,194.69,194.69,28.95,28.95,17.74,1.76,6017,
4118,,194.69,194.69,28.82,28.82,18.31,1.56,5387,
4129,,194.68,194.68,28.85,28.85,18.54,1.92,6088,
4141,,194.68,194.68,28.87,28.87,18.71,1.73,nan,
4175,,194.67,194.67,28.84,28.84,18.65,1.85,4628,
4200,D182,194.67,194.67,29.05,29.05,16.84,1.72,5638,
4205,,194.67,194.67,28.85,28.85,19.45,2.6,62822,
1144,,195.020625,195.020625,27.55291111,28.55291111,18.152,2.503,90300,
1230,,195.1145833,195.1145833,27.55446944,28.55446944,19.55,1.97,157320,
2149,,195.1048333,195.1048333,27.55219167,28.55219167,16.08,1.536,7230,C1
2179,,195.1035833,195.1035833,27.56190556,28.56190556,19.332,0.979,29970,
2277,,194.6719167,194.6719167,27.55969444,28.55969444,18.457,1.379,55620,
2623,,194.7765833,194.7765833,27.56081667,28.56081667,17.86,1.483,7950,C1
2938,,194.6644167,194.6644167,27.56685833,28.56685833,19.045,2.068,85800,
3061,,195.040375,195.040375,27.56641667,28.56641667,18.151,1.45,49590,
3368,,194.8780833,194.8780833,27.57109167,28.57109167,19.92,1.165,56520,
3437,,195.2309167,195.2309167,27.57151111,28.57151111,19.778,1.109,70500,
4015,,195.1869583,195.1869583,27.57455556,28.57455556,19.919,0.797,135150,
4123,,195.2315833,195.2315833,27.55755,28.55755,17.583,1.451,5400,C1
5385,,195.0061667,195.0061667,27.58534167,28.58534167,19.45,1.116,33960,
5443,,194.9158333,194.9158333,27.57668056,28.57668056,15.508,1.018,5010,C1
6728,,194.827125,194.827125,27.5935,28.5935,16.766,1.16,5250,C1
6750,,195.18325,195.18325,27.59353333,28.59353333,17.569,1.269,7260,C1
7131,,195.0433333,195.0433333,27.59497222,28.59497222,15.584,1.536,5520,C1
8705,,194.7935833,194.7935833,27.60509444,28.60509444,18.147,1.043,41130,
8435,,194.996875,194.996875,27.60329167,28.60329167,17.908,2.416,63180,
8786,,194.9464167,194.9464167,27.60543889,28.60543889,17.909,1.715,7560,C1
8985,,195.0262917,195.0262917,27.61087778,28.61087778,18.711,2.189,56610,
9846,,194.7555833,194.7555833,27.61662222,28.61662222,19.086,1.601,47250,
10379,,195.0838333,195.0838333,27.61564167,28.61564167,17.213,1.373,43620,
10661,,195.15,195.15,27.62013333,28.62013333,19.89,1.075,55080,
11849,,194.792875,194.792875,27.619825,28.619825,15.063,1.55,5700,C1
12372,,195.1152083,195.1152083,27.62516111,28.62516111,16.462,1.507,5580,C1
12373,,194.6496667,194.6496667,27.62770833,28.62770833,17.949,1.906,47310,
12474,,195.0607083,195.0607083,27.628575,28.628575,18.743,1.545,6030,C1
12771,,195.09325,195.09325,27.62348611,28.62348611,15.887,1..621,7590,C1
12789,,194.8507083,194.8507083,27.63397778,28.63397778,18.928,1.956,127980,
13094,,195.216125,195.216125,27.63387222,28.63387222,18.975,1.512,7830,C1
13385,,194.7905417,194.7905417,27.63570833,28.63570833,18.759,1.593,63120,
13606,,194.8214167,194.8214167,27.63411944,28.63411944,17.987,1.506,5310,C1
14925,,194.8959583,194.8959583,27.64140556,28.64140556,18.309,1.432,8550,C1
15480,,195.1403333,195.1403333,27.63771111,28.63771111,15.037,0.65,7530,C1
17317,,194.77225,194.77225,27.64423056,28.64423056,14.281,1.109,5460,C1
17409,,194.6679583,194.6679583,27.66504722,28.66504722,17.436,2.276,84900,
18455,,194.9220833,194.9220833,27.65972778,28.65972778,15.202,1.517,6810,C1
18487,,194.7859583,194.7859583,27.67836667,28.67836667,19.325,1.479,97170,
19401,,195.1873333,195.1873333,27.686125,28.686125,18.976,2.003,89220,
20254,,195.21375,195.21375,27.68908056,28.68908056,17.76,1.513,8190,C1
20774,,195.026,195.026,27.68517778,28.68517778,15.12,1.469,7530,C1
21094,,194.6977917,194.6977917,27.67485556,28.67485556,13.784,1.601,8340,C1
21736,,194.7024583,194.7024583,27.69990278,28.69990278,17.945,1.681,7080,C1
22145,,194.907375,194.907375,27.70249444,28.70249444,17.233,2.041,37950,
22354,,194.8000417,194.8000417,27.70907222,28.70907222,19.01,0.971,63570,
23146,,195.1769167,195.1769167,27.71551944,28.71551944,19.116,1.61,71550,
23231,,195.0725,195.0725,27.71143611,28.71143611,17.893,1.574,7200,C1
23305,,195.1094167,195.1094167,27.711425,28.711425,18.715,1.63,6540,C1
23512,,194.6846667,194.6846667,27.71433611,28.71433611,18.797,1.477,7470,C1
23987,,194.8264583,194.8264583,27.71567778,28.71567778,16.684,1.578,6570,C1
24251,,195.02775,195.02775,27.72100556,28.72100556,17.41,2.108,43770,
24438,,195.0097083,195.0097083,27.71956111,28.71956111,18.402,1.421,5610,C1
24575,,195.0530417,195.0530417,27.71968611,28.71968611,16.679,1.774,4950,C1
25272,,194.763375,194.763375,27.72818611,28.72818611,19.027,1.881,63510,
25740,,194.8312083,194.8312083,27.73197222,28.73197222,18.46,1.987,11400,
25924,,194.8002083,194.8002083,27.73446111,28.73446111,18.778,1.893,62370,
26262,,194.9464167,194.9464167,27.71019167,28.71019167,13.529,1.605,8370,C1
26777,,194.958625,194.958625,27.73531667,28.73531667,18.348,1.186,7680,C1
26821,,195.1897083,195.1897083,27.73626111,28.73626111,18.81,1.568,7050,C1
28211,,194.9337083,194.9337083,27.74298333,28.74298333,18.987,1.434,7440,C1
28227,,194.9429583,194.9429583,27.74614722,28.74614722,17.263,1.088,9750,C1
28418,,194.9982917,194.9982917,27.75071944,28.75071944,19.591,1.11,23010,
28581,,195.212875,195.212875,27.74287222,28.74287222,16.325,1.564,8160,C1
28951,,194.7274167,194.7274167,27.75325278,28.75325278,19.343,1.745,63270,
29099,,194.6733333,194.6733333,27.75851944,28.75851944,19.387,1.487,47580,
29362,,194.853875,194.853875,27.73874722,28.73874722,14.974,1.595,6030,C1
29543,,194.9840417,194.9840417,27.74656667,28.74656667,16.217,1.139,8940,C1
29668,,194.6896667,194.6896667,27.75387222,28.75387222,16.973,1.495,6660,C1
30014,,195.118375,195.118375,27.76108889,28.76108889,18.638,1.45,6840,C1
30153,,194.9372083,194.9372083,27.76340278,28.76340278,18.54,1.486,8100,C1
30567,,194.6774583,194.6774583,27.76051389,28.76051389,16.463,0.986,8730,C1
30788,,194.75225,194.75225,27.76737222,28.76737222,17.607,1.6,68670,
30855,,194.8182083,194.8182083,27.77166667,28.77166667,18.271,1.585,6300,C1
31086,,195.135375,195.135375,27.76604722,28.76604722,15.338,1.606,6660,C1
31300,,195.0335,195.0335,27.77317222,28.77317222,16.572,1.044,8670,C1
31357,,194.7784583,194.7784583,27.77234722,28.77234722,16.436,1.512,6300,C1
31405,,194.8855,194.8855,27.77469167,28.77469167,18.44,1.131,28260,
31541,,194.7248333,194.7248333,27.77593333,28.77593333,19.37,1.404,17670,
31641,,194.6475833,194.6475833,27.77504722,28.77504722,18.597,1.411,6060,C1
31772,,194.9074167,194.9074167,27.77674722,28.77674722,15.832,1.467,6870,C1
32346,,194.7811667,194.7811667,27.76769722,28.76769722,14.596,1.506,6360,C1
32747,,194.8061667,194.8061667,27.77452222,28.77452222,14.469,1.517,6900,C1
32890,,195.1843333,195.1843333,27.77187778,28.77187778,18.514,1.125,34620,
32920,,195.0731667,195.0731667,27.78435278,28.78435278,16.411,1.769,7020,C1
33113,,195.052625,195.052625,27.79847222,28.79847222,15.475,1.516,7050,C1
33956,,194.7400417,194.7400417,27.7687,28.7687,15.566,1.469,6900,C1
33963,,194.877625,194.877625,27.79128333,28.79128333,15.479,1.565,7800,C1
34044,,194.9785833,194.9785833,27.79591667,28.79591667,16.04,1.567,8010,C1
34306,,194.965125,194.965125,27.78430833,28.78430833,19.294,1.423,55050,
34423,,194.720625,194.720625,27.81591389,28.81591389,19.401,1.363,8970,C1
34602,,195.136,195.136,27.78876667,28.78876667,18.475,1.745,58920,
34747,,194.8998333,194.8998333,27.80406667,28.80406667,17.943,1.486,6330,C1
34779,,194.7349167,194.7349167,27.80319722,28.80319722,17.849,1.355,7830,C1
35430,,194.7840833,194.7840833,27.78406944,28.78406944,14.02,1.557,7050,C1
35741,,195.166875,195.166875,27.81406389,28.81406389,19.813,1.185,3510,
35960,,195.1877917,195.1877917,27.79585556,28.79585556,18.261,1.544,5820,C1
36111,,195.2334583,195.2334583,27.807425,28.807425,12.987,1.458,8010,C1
36534,,194.7029583,194.7029583,27.81039167,28.81039167,13.915,1.503,5850,C1
36757,,194.7210417,194.7210417,27.81335,28.81335,15.472,1.545,5520,C1
37770,,195.0773333,195.0773333,27.81546667,28.81546667,15.845,1.636,5310,C1
37788,,194.9039583,194.9039583,27.82570556,28.82570556,16.093,1.5,6270,C1
37990,,194.96475,194.96475,27.82941944,28.82941944,18.81,1.955,7980,C1
38131,,194.6696667,194.6696667,27.8269,28.8269,16.257,1.39,6180,C1
38408,,194.8753333,194.8753333,27.82588611,28.82588611,17.937,1.546,8880,C1
38594,,194.658875,194.658875,27.82256389,28.82256389,17.143,1.055,5400,C1
38741,,195.2249167,195.2249167,27.83621111,28.83621111,19.625,1.289,19320,
39119,,195.1389167,195.1389167,27.82419722,28.82419722,15.912,1.427,8130,C1
39218,,194.9222917,194.9222917,27.83736389,28.83736389,19.044,1.132,3240,
39682,,195.1890833,195.1890833,27.83549167,28.83549167,16.534,1.592,8760,C1
39761,,194.6406667,194.6406667,27.83674722,28.83674722,17.079,1.359,4620,C1
40278,,194.9624583,194.9624583,27.83286389,28.83286389,15.986,1.709,7920,C1
40483,,194.690125,194.690125,27.8459,28.8459,18.857,1.617,38310,
41046,,195.228125,195.228125,27.84196944,28.84196944,16.086,1.64,7050,C1
42068,,195.084,195.084,27.84345,28.84345,16.531,1.604,7800,C1
42569,,194.8601667,194.8601667,27.85683333,28.85683333,17.68,1.537,5010,C1
42593,,195.2125,195.2125,27.86210278,28.86210278,18.996,1.546,9330,C1
42635,,195.0032083,195.0032083,27.86246667,28.86246667,18.729,1.536,55050,
42861,,194.7578333,194.7578333,27.86506389,28.86506389,19.219,1.453,7560,C1
43287,,194.9921667,194.9921667,27.86610278,28.86610278,19.376,1.366,8640,C1
43718,,194.897,194.897,27.86351111,28.86351111,16.161,1.555,6210,C1
43762,,194.83875,194.83875,27.87150278,28.87150278,18.165,1.903,85530,
44173,,194.9342083,194.9342083,27.86759167,28.86759167,16.156,1.545,6270,C1
44395,,194.7550417,194.7550417,27.87719167,28.87719167,18.91,2.031,97860,
44932,,194.9205417,194.9205417,27.87771111,28.87771111,18.623,2.161,53610,
45349,,195.0930833,195.0930833,27.88373056,28.88373056,18.92,1.919,43800,
45468,,194.681,194.681,27.88524167,28.88524167,19.397,1.537,8130,C1
45473,,194.720875,194.720875,27.88594722,28.88594722,17.904,1.579,32250,
46182,,194.7312083,194.7312083,27.88738333,28.88738333,18.792,1.252,7950,C1
46318,,195.0630417,195.0630417,27.89300833,28.89300833,18.803,1.603,84270,
46757,,194.6401667,194.6401667,27.89290278,28.89290278,19.9,1.294,57000,
47098,,194.810875,194.810875,27.89552778,28.89552778,17.303,1.585,6390,C1
47256,,195.0902083,195.0902083,27.89848056,28.89848056,16.74,1.491,4860,C1
47620,,195.0823333,195.0823333,27.90365278,28.90365278,19.172,1.588,79200,
47923,,194.9514167,194.9514167,27.90267778,28.90267778,18.516,2.242,54870,
47927,,195.2328333,195.2328333,27.89855556,28.89855556,16.692,1.603,6060,C1
48578,,194.8997917,194.8997917,27.90594167,28.90594167,17.622,1.497,9060,C1
49681,,195.1553333,195.1553333,27.91131667,28.91131667,19.363,1.462,6090,C1
49731,,194.76925,194.76925,27.91094444,28.91094444,15.207,1.499,6420,C1
49970,,194.982,194.982,27.91761944,28.91761944,18.069,1.72,6600,C1
